text,tfidf_tags,zero_shot_tags,combined_tags
"Snapshots: Exploring Shifterator with Kaggle Notebooks | Kaggle Calculating word frequency just scratches the surface of natural language processing. In this Snapshots video, Product Manager Meg Risdal walks us through her analysis of Animal Crossing reviews while exploring the Shifterator package’s word shift graphs, an alternative to word clouds. She also provides an overview of the Quick Save and Version Naming features in Notebooks! What are Snapshots? Snapshots are a video series from Kaggle, where different members of the Kaggle Team bring you an inside look at a project, idea, or feature they’re excited about! SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['snapshots', 'kaggle', 'word', 'shifterator', 'exploring']","['tech', 'music', 'review']","['tech', 'kaggle', 'word', 'review', 'snapshots', 'exploring', 'music', 'shifterator']"
"Snapshots: Datasets, Tasks, and Animal Crossing | Kaggle The latest Animal Crossing game is known for its many options to customize the game world. In this Snapshots video, watch as Jessica Li (one of our amazing product managers) shows off her Animal Crossing Dataset that details headwear, housewares, and more. She also previews a stellar notebook another Kaggler created in response to a Task! You can access the dataset Jess uploaded here: https://www.kaggle.com/jessicali9530/animal-crossing-new-horizons-nookplaza-dataset What are Snapshots? Snapshots are a new video series from Kaggle, where different members of the Kaggle Team bring you an inside look at a project, idea, or feature they’re excited about! CORRECTION: this dataset comes from a vibrant community of dedicated Animal Crossing fans, and the full list of contributors can be found in this spreadsheet: https://tinyurl.com/acnh-sheet SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['crossing', 'snapshots', 'animal', 'kaggle', 'dataset']","['tutorial', 'data science', 'artificial intelligence']","['kaggle', 'tutorial', 'artificial intelligence', 'snapshots', 'crossing', 'animal', 'dataset', 'data science']"
"TPUs: AlphaGo to Speech Recognition | Kaggle Cliff Young is a researcher with Google Brain, and one of the first people to join the TPU team. I was able to talk with him about how TPUs were involved in a wide array of products, from AlphaGo to Speech Recognition! A couple of notes: - The AlphaGo match-up against Lee Sedol took place in March of 2016. - We apologize for the video quality, and are looking into ways to make future interviews a bit smoother! We currently have three opportunities for you to put TPUs to use: Flowers Classification Playground Competition: https://www.kaggle.com/c/flower-classification-with-tpus Jigsaw Multilingual Toxic Comment Classification Competition: https://www.kaggle.com/c/jigsaw-multilingual-toxic-comment-classification SIIM-ISIC Melanoma Classification: https://www.kaggle.com/c/siim-isic-melanoma-classification/overview SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['alphago', 'tpus', 'classification', 'kaggle', 'recognition']","['data science', 'comedy', 'vlog']","['kaggle', 'classification', 'comedy', 'tpus', 'recognition', 'alphago', 'vlog', 'data science']"
"Getting Curious: What it takes to build a TPU | Kaggle Have you ever wondered what kind of background you'd need to build a Tensor Processing Unit (TPU)? Cliff Young, a researcher with Google Brain, and one of the first people to join the TPU team, walks us through his career path and shares his insights on what makes the TPU team at Google so successful! A quick note: we apologize for the video quality, and are looking into ways to make future interviews a bit smoother! We currently have three opportunities for you to put TPUs to use: Flowers Classification Playground Competition: https://www.kaggle.com/c/flower-classification-with-tpus Jigsaw Multilingual Toxic Comment Classification Competition: https://www.kaggle.com/c/jigsaw-multilingual-toxic-comment-classification SIIM-ISIC Melanoma Classification: https://www.kaggle.com/c/siim-isic-melanoma-classification/overview SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['tpu', 'classification', 'kaggle', 'team', 'wondered']","['data science', 'comedy', 'vlog']","['kaggle', 'classification', 'comedy', 'team', 'vlog', 'wondered', 'tpu', 'data science']"
"Learn With Me: Getting Started with Tensor Processing Units (TPUs) | Kaggle I recently had the opportunity to sit down with one of our Data Scientists, Phil Culliton, and we walked through everything how to get started with TPUs on Kaggle using TensorFlow, including turning on your TPU, detecting your accelerator, loading your data, and building your model. Link to the notebook we cover in the video: https://www.kaggle.com/philculliton/a-simple-tf-2-1-notebook We currently have three opportunities for you to put TPUs to use: Flowers Classification Getting Started Competition: https://www.kaggle.com/c/flower-classification-with-tpus Jigsaw Multilingual Toxic Comment Classification Competition: https://www.kaggle.com/c/jigsaw-multilingual-toxic-comment-classification SIIM-ISIC Melanoma Classification: https://www.kaggle.com/c/siim-isic-melanoma-classification/overview SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['tpus', 'kaggle', 'classification', 'getting', 'data']","['data science', 'vlog', 'tech']","['tech', 'kaggle', 'data', 'classification', 'getting', 'tpus', 'vlog', 'data science']"
"Kaggle Grandmaster Profile: Martin Henze (Heads or Tails) After ten years of looking at the stars, maybe it was time to focus my gaze on the real world, and the people who live in the real world — Martin, on his career transition. Meet Martin Henze (aka Heads or Tails), PhD Astrophysicist, Data Scientist, Kaggle Grandmaster. Follow Martin: https://www.kaggle.com/headsortails https://twitter.com/heads0rtai1s https://heads0rtai1s.github.io/ Read more about Martin: https://medium.com/kaggle-blog/profiling-top-kagglers-martin-henze-aka-heads-or-tails-worlds-first-kernels-grandmaster-b158421f70dc Video contains English-language subtitles. To contribute subtitles in your native language, please add them here: http://www.youtube.com/timedtext_video?v=_fFenBDzLyM&ref=share --- SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['martin', 'kaggle', 'tails', 'heads', 'henze']","['data science', 'tech', 'music']","['tech', 'kaggle', 'tails', 'heads', 'henze', 'data science', 'music', 'martin']"
"TPUs, systolic arrays, and bfloat16: accelerate your deep learning | Kaggle Today we’re going to talk about systolic arrays and bfloat16 multipliers, two components of tensor processing units (TPUs) that are responsible for accelerating your deep learning model training time. ** super important content note **: you may have caught that the on screen image at 4:44 is incorrect! we've uploaded the correct image here: https://bit.ly/2RspG9Y We currently have two opportunities for you to put TPUs to use: Flowers Classification Playground Competition: https://www.kaggle.com/c/flower-classification-with-tpus Jigsaw Multilingual Toxic Comment Classification Competition: https://www.kaggle.com/c/jigsaw-multilingual-toxic-comment-classification SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['tpus', 'systolic', 'arrays', 'bfloat16', 'kaggle']","['tech', 'comedy', 'google']","['kaggle', 'bfloat16', 'systolic', 'comedy', 'tpus', 'google', 'arrays', 'tech']"
"Kaggle Days Beijing Highlights 2019 | Kaggle Days Beijing Highlights from Kaggle Days China, which took place October 19-20th 2019 at the Damei Center, Beijing. More than 400 data scientists and enthusiasts gathered to learn, make friends, and compete in a full-day offline competition. Kaggle Days is produced by LogicAI and Kaggle. About LogicAI: LogicAI is a boutique Data Science consultancy company owned by Kaggle fans and Grandmasters. As a global company, they do custom end-to-end AI and Data Science development projects as well as trainings for C-level management and tech teams. Want help with your AI projects or want to work with LogicAI to create AI strategies? Simply apply at logicai.io! Follow LogicAI online: Visit the WEBSITE: https://logicai.io/ Like LogicAI on FACEBOOK: https://www.facebook.com/LogicAI-1471... Check out our BLOG: https://logicai.io/blog/ Connect with us on LINKEDIN: https://www.linkedin.com/company/logi... Follow Kaggle Days online: Visit the WEBSITE: https://kaggledays.com/ Like Kaggle Days on FACEBOOK: https://www.facebook.com/KaggleDays/ Follow Kaggle Days on TWITTER: https://twitter.com/Kaggle_Days Connect with Kaggle Days on LINKEDIN: https://www.linkedin.com/company/kagg... SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['kaggle', 'days', 'logicai', 'beijing', 'highlights']","['data science', 'tech', 'google']","['tech', 'kaggle', 'days', 'google', 'beijing', 'data science', 'highlights', 'logicai']"
"How to: Use secrets safely on Kaggle | Kaggle In this quick how-to, Rachael shows you how to safely store your keys, secrets and tokens so you can securely call APIs from Kaggle notebooks. SUBSCRIBE: https://www.youtube.com/c/kaggle?sub_confirmation=1&utm_medium=youtube&utm_source=channel&utm_campaign=yt-sub About Kaggle: Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help. Follow Kaggle online: Visit the WEBSITE: http://www.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-kg Like Kaggle on FACEBOOK: http://www.facebook.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-fb Follow Kaggle on TWITTER: http://twitter.com/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-tw Check out our BLOG: http://blog.kaggle.com/?utm_medium=youtube&utm_source=channel&utm_campaign=yt-blog Connect with us on LINKEDIN: http://www.linkedin.com/company/kaggle?utm_medium=youtube&utm_source=channel&utm_campaign=yt-lkn Advance your data science skills: Take our free online courses: http://www.kaggle.com/learn/overview?utm_medium=youtube&utm_source=channel&utm_campaign=yt-learn Get started with Kaggle Kernels: http://www.kaggle.com/docs/kernels?utm_medium=youtube&utm_source=channel&utm_campaign=yt-krnl Download clean datasets from Kaggle: http://www.kaggle.com/docs/datasets?utm_medium=youtube&utm_source=channel&utm_campaign=yt-datast Sign up for a Kaggle Competition: http://www.kaggle.com/docs/competitions?utm_medium=youtube&utm_source=channel&utm_campaign=yt-comps Explore the Kaggle Public API: http://www.kaggle.com/docs/api?utm_medium=youtube&utm_source=channel&utm_campaign=yt-docs Kaggle https://www.youtube.com/c/kaggle","['kaggle', 'safely', 'secrets', 'keys', 'securely']","['comedy', 'fitness', 'tech']","['tech', 'kaggle', 'secrets', 'comedy', 'safely', 'keys', 'fitness', 'securely']"
"Feature Eng Techniques & GBDT Implementation (Japanese language) | Daisuke Kadowaki | Kaggle Days Kaggle Days Tokyo took place on December 11-12, 2019 at Mori Tower, Roppongi Hills, Tokyo. This was the 6th edition of our signature two-day event featuring Master and Grandmaster speakers, and a live, all-day Kaggle Competition. This edition was sponsored by Google Cloud (GCP), Data Science Dojo, and DeNA. Kaggle Days is produced by LogicAI and Kaggle. About LogicAI: LogicAI is a boutique Data Science consultancy company owned by Kaggle fans and Grandmasters. As a global company, they do custom end-to-end AI and Data Science development projects as well as trainings for C-level management and tech teams. Want help with your AI projects or want to work with LogicAI to create AI strategies? Simply apply at logicai.io! Follow LogicAI online: Visit the WEBSITE: https://logicai.io/ Like LogicAI on FACEBOOK: https://www.facebook.com/LogicAI-1471... Check out our BLOG: https://logicai.io/blog/ Connect with us on LINKEDIN: https://www.linkedin.com/company/logi... Follow Kaggle Days online: Visit the WEBSITE: https://kaggledays.com/ Like Kaggle Days on FACEBOOK: https://www.facebook.com/KaggleDays/ Follow Kaggle Days on TWITTER: https://twitter.com/Kaggle_Days Connect with Kaggle Days on LINKEDIN: https://www.linkedin.com/company/kagg...","['days', 'logicai', 'kaggle', 'tokyo', 'ai']","['tutorial', 'machine learning', 'review']","['kaggle', 'days', 'ai', 'tutorial', 'review', 'machine learning', 'tokyo', 'logicai']"
